time,HandLight_trigger
0,
0.2760853,
0.5449327,
0.7987911,
1.052657,
1.318219,
1.599036,
1.858763,
2.120923,
2.376327,
2.662814,
2.921841,
3.185226,
3.436906,
3.697902,
3.953575,
4.212304,
4.466471,
4.725702,
4.977818,
5.230633,
5.490123,
5.745079,
5.995194,
6.249019,
6.566883,
6.831084,
7.127616,
7.504261,
8.044443,
8.300253,
8.55184,
8.816469,
9.070891,
9.322173,
9.582091,
9.833559,
10.08721,
10.3493,
10.61218,
10.86605,
11.12195,
11.38187,
11.6459,
11.91681,
12.17179,
12.43996,
12.70459,
12.95524,
13.21058,
13.47157,
13.72682,
13.98358,
14.2501,
14.50311,
14.76472,
15.01475,
15.29061,
15.54372,
15.80833,1
16.07276,1
16.32388,
16.59293,
16.85522,1
17.11689,
17.38176,1
17.64286,1
17.91377,1
18.17496,1
18.4339,1
18.71021,1
18.97295,1
19.23526,1
19.48606,1
19.74738,1
19.99977,1
20.26329,1
20.53023,1
20.79385,1
21.05814,
21.33487,
21.58826,
21.86502,1
22.11898,
22.38054,
22.64412,1
22.9064,
23.16271,
23.43409,
23.73829,
24.01762,
24.33158,
24.59912,
24.85285,
25.13065,
25.50112,
25.76752,
26.04148,
26.29425,
26.55356,
26.8433,
27.10369,
27.36361,
27.6753,
