time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Thumb_Opposition,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Abduction,Pinky_Opposition
0
0.2807862,0.02895242,,,0.6906134,,0.08349383,,,,,,,,,,,,,,,,,,,,
0.550384,0.02852696,,,0.6893195,,0.08434661,,,,,,,,,,,,,,,,,,,,
0.8308003,0.02518237,,,0.6881586,,0.08433426,,,,,,,,,,,,,,,,,,,,
1.100114,0.03174572,,,0.6992935,,0.07450931,,,,,,,,,,,,,,,,,,,,
1.431504,,0.3767546,0.393635,,0.4307155,,192.0682,220.9013,8.553843,0,201.7576,198.0969,24.91561,0.05144425,212.8569,209.8409,11.68896,0.05069397,211.6403,212.0281,15.53132,0.05959579,192.0682,217.6505,0,0.07130867
1.758974,,0.0213231,0.08528955,,0.6455004,,189.8572,192.076,13.64283,0,181.4733,199.5842,13.87029,0.06416996,180.2903,208.1315,11.04042,0.07965808,187.5927,200.061,20.06433,0.08541009,189.8572,181.4506,0,0.09979775
2.010792,0.03074646,,0.2074865,,0.3720931,,180.737,160.0774,27.60217,0,191.0217,208.625,14.35571,0.06364846,191.2062,211.209,11.35995,0.08337563,195.7142,204.7639,15.5028,0.09240092,180.737,195.2878,0,0.1035837
2.268797,0.2440379,,0.5319087,,,0.5960643,187.0841,152.8604,24.32525,0,184.3286,194.647,20.19974,0.0741962,182.0829,190.9308,13.55147,0.1030887,182.8039,182.3149,22.01841,0.1123583,187.0841,172.652,0,0.1203515
2.532918,0.2530577,,0.5164022,,,0.7410198,184.2596,134.6095,33.383,0,180.306,190.4524,26.63589,0.08551236,178.3871,183.8384,17.76602,0.1178233,180.5262,175.5033,29.92983,0.1277575,184.2596,167.273,0,0.1377371
2.805703,0.2498151,,0.173787,,,0.5687562,177.0878,137.0208,34.34403,0,184.4232,197.2058,21.59771,0.07863846,188.0664,207.3598,16.68301,0.09862076,189.1765,212.634,21.61677,0.1077826,177.0878,218.4703,0,0.1172122
3.084894,0.1601834,,0.2530478,,0.8277878,,175.9126,148.7287,33.01154,0,183.8325,192.7668,21.03709,0.08095232,180.7172,197.8981,17.05473,0.1096393,185.8795,194.024,26.71159,0.1219518,175.9126,188.6954,0,0.1380905
3.342541,,0.1972476,,0.002336548,0.4627429,,191.1181,183.8686,13.449,0,189.2992,191.7517,15.93746,0.06395985,185.7909,196.4503,13.16036,0.08340983,190.1328,191.1824,21.03728,0.09020352,191.1181,182.4629,0,0.1014465
3.601102,,0.3575505,0.072266,,0.3166827,,197.0143,168.1038,14.20675,0,208.886,186.2372,35.28743,0.05115779,232.0053,202.3896,15.97451,0.04713687,235.7618,204.6515,12.35104,0.05833345,197.0143,201.2393,0,0.07079543
3.858561,,0.4728164,0.2926764,,0.3340845,,200.9979,182.361,7.404435,0,217.0284,182.6519,25.1906,0.04252702,233.9806,191.5398,15.38061,0.04283022,236.325,191.7476,15.96363,0.05312753,200.9979,192.1866,0,0.06663238
4.115319,,0.4558156,0.279183,,0.3064758,,202.928,198.6268,6.593384,0,218.6122,186.8755,26.72202,0.03546462,231.3374,201.7384,13.81257,0.03663248,235.0484,199.3632,14.46503,0.04786185,202.928,194.8877,0,0.06165022
