time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Thumb_Opposition,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Abduction,Pinky_Opposition
0
0.2807862,0.5159988,,,0.7885492,0.1464597,,,,,,,,,,,,,,,,,,,,,
0.550384,0.5138776,,,0.7874194,0.1457229,,,,,,,,,,,,,,,,,,,,,
0.8308003,0.5077244,,,0.7852026,0.1451499,,,,,,,,,,,,,,,,,,,,,
1.100114,0.5234424,,,0.7929672,0.1529502,,,,,,,,,,,,,,,,,,,,,
1.431504,0.5871439,,,0.8079739,0.1931867,,,,,,,,,,,,,,,,,,,,,
1.758974,,0.03264499,0.207575,,,0.544843,186.688,164.6878,24.61893,0,184.3478,197.4064,18.55795,0.0746494,181.9925,205.2458,13.38785,0.09684293,186.6711,202.5598,18.91378,0.104696,186.688,197.9016,0,0.1139974
2.010792,,0.00523393,0.2201209,,,0.8073044,180.2668,168.6709,22.304,0,178.9496,189.5217,19.55537,0.07324547,176.3266,196.6508,14.40176,0.09829726,180.449,191.2499,23.76203,0.1077994,180.2668,184.4814,0,0.1218124
2.268797,,0.1760576,0.4517511,,0.4550413,,184.3508,147.5555,24.02744,0,189.0183,194.7986,15.46303,0.06984453,184.7661,193.6448,12.10998,0.0934042,187.152,188.7046,18.44087,0.1006647,184.3508,178.6455,0,0.1092193
2.532918,,0.1107801,0.3699183,,0.9362199,,187.0014,137.0727,28.60375,0,181.9284,193.9401,29.30485,0.07924009,178.4996,182.5415,17.69793,0.1164961,181.4399,177.0646,28.61683,0.1220089,187.0014,174.7899,0,0.1244891
2.805703,,0.1794466,0.1551857,,0.6118801,,182.64,144.7128,27.73473,0,184.4667,197.4918,24.21402,0.0745239,190.6878,212.5448,15.84605,0.08512367,191.8908,218.6721,16.06879,0.09168157,182.64,221.1822,0,0.1007094
3.084894,,0.1789045,0.3108481,,,0.752188,182.043,157.1899,24.94355,0,185.9253,204.5929,17.49173,0.06789331,183.6999,207.4631,15.94127,0.09319004,187.1666,197.7841,25.96794,0.1086377,182.043,183.7713,0,0.1281034
3.342541,,0.2946309,,0.1267151,,0.691523,185.2987,171.6354,24.68366,0,193.3165,200.4001,59.49917,0.06559879,211.9046,243.2174,27.41142,0.07708412,222.6757,258.0016,5.678063,0.0898716,185.2987,258.1644,0,0.09338126
3.601102,,0.01328701,,0.3410761,,0.740182,178.8742,136.0132,46.57678,0,180.0626,190.5123,124.7193,0.0937434,254.1991,254.5612,20.03854,0.07873064,251.3405,262.8255,18.38888,0.09502672,178.8742,262.1003,0,0.10738
3.858561,,0.05366918,,0.4491957,,0.5477462,177.896,139.2975,43.65216,0,181.8485,202.8215,109.7157,0.08609793,247.8077,258.6842,18.67926,0.07769369,246.6922,268.6423,16.39977,0.09430949,177.896,271.244,0,0.1063337
4.115319,,0.08244152,,0.3939813,,0.5671791,176.971,130.3759,39.46212,0,215.9842,216.4026,30.06182,0.04333828,228.8036,236.7431,22.00974,0.05869097,239.3327,244.5486,10.6932,0.0758964,176.971,247.0094,0,0.08659106
4.369487,,0.06579581,0.1223409,,0.1588673,,183.1264,155.3422,23.5226,0,188.5056,195.382,17.03908,0.07125395,190.4612,196.2666,13.42847,0.08782348,192.8057,189.0176,21.84695,0.09721472,183.1264,178.6662,0,0.1090978
4.644792,0.04954059,,0.4491971,,0.6192127,,185.6658,73.21626,26.78967,0,183.2296,197.6686,20.97068,0.07601962,184.5454,192.6017,14.70008,0.09986053,187.8712,187.3261,22.51552,0.1052717,185.6658,182.943,0,0.1072495
4.919664,,0.4648703,0.5556488,,,0.4692028,181.1559,145.7535,28.6641,0,184.2943,203.5146,19.28856,0.07227597,185.2069,213.8165,15.32424,0.09044687,186.2528,215.6884,19.26389,0.1015498,181.1559,218.6681,0,0.1095904
5.185506,0.3355277,,0.5390632,,,0.107613,191.816,192.4577,10.07755,0,193.961,205.3687,16.92271,0.05362012,190.6669,202.0838,14.05249,0.07824236,194.9465,190.3233,22.2744,0.08978678,191.816,175.3709,0,0.10548
5.437214,,0.1293815,0.2254686,,,0.1963414,185.6246,154.1049,30.27403,0,199.4767,198.8351,15.04862,0.06888895,192.9604,209.9322,14.8959,0.09016152,197.4468,211.5943,17.20494,0.0972953,185.6246,208.4243,0,0.1099501
