time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.3117621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.5688498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.8300813,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1.092262,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1.344917,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1.598843,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1.861104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2.118008,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2.37644,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2.627904,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2.884154,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3.147541,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3.41233,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3.664706,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3.999972,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4.327238,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4.689027,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4.93926,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5.215654,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5.465684,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5.716778,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6.091856,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6.460334,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6.745552,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7.065156,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7.348661,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7.656348,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7.925266,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8.186365,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8.513816,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8.785171,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9.057618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9.41666,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9.695755,0.2455813,,,0.3113234,0.03702764,,,,,,,,,,,,,,,,,,,
9.997737,0.2406633,,,0.313406,0.02870008,,,,,,,,,,,,,,,,,,,
10.29222,0.2543727,,,0.3969271,,0.02618988,,,,,,,,,,,,,,,,,,
10.56037,0.1268752,,,0.3813984,,0.06065454,,,,,,,,,,,,,,,,,,
10.82756,0.06451858,,,0.3249373,,0.09094964,,,,,,,,,,,,,,,,,,
11.09842,0.0179466,,,0.3317203,,0.1058647,,,,,,,,,,,,,,,,,,
11.35224,0.02860056,,,0.346686,,0.1067193,,,,,,,,,,,,,,,,,,
11.62852,0.06409223,,,0.3365144,,0.1092113,,,,,,,,,,,,,,,,,,
11.88117,0.1424843,,,0.3902309,,0.09284022,,,,,,,,,,,,,,,,,,
12.13542,,0.2377729,,0.03281704,0.1340188,,,,,,,,,,,,,,,,,,,
12.43547,,0.1054607,,0.1207012,0.3717413,,,,,,,,,,,,,,,,,,,
12.68571,,0.09287026,,0.05939909,0.261319,,0.03987255,-0.323682,0.2850735,0.1930729,0.2748648,0.1692713,0.3305511,0.1765781,0.3490141,0.1349918,0.4251466,0.2349434,0.2845997,0.1900248,0.467281,0.03987255,0.1715159,0.5264825
12.96329,0.04246529,,0.3156658,,0.01573442,,0.2495258,-0.1831451,0.143384,0.2610285,0.1616015,0.158108,0.2888989,0.2507812,0.2422501,0.1365502,0.3556008,0.2450924,0.2918329,0.154647,0.3660402,0.2495258,0.312076,0.3804786
13.23847,0.02952926,,0.7302304,,,0.04336883,-0.006025314,-1.460777,0.4031882,0.2341339,0.1560217,0.2415977,0.4225599,0.2684078,0.1278866,0.1754629,0.5045356,0.3170826,0.1007519,0.243907,0.5039992,-0.006025314,0.12519,0.5234085
13.52453,0.3379003,,0.7914159,,,0.1840732,,,,,,,,,,,,,,,,,,
13.79784,0.1436169,,0.4729932,,,0.1645482,,,,,,,,,,,,,,,,,,
14.05655,0.1624829,,0.105204,,,0.1850666,,,,,,,,,,,,,,,,,,
14.3309,0.1461534,,,0.3270459,,0.154726,,,,,,,,,,,,,,,,,,
14.58293,0.09946899,,,0.6818258,,0.1038658,,,,,,,,,,,,,,,,,,
14.83434,,0.0635512,0.3403398,,0.2252242,,,,,,,,,,,,,,,,,,,
15.08595,,0.06124084,,0.2130539,0.4787964,,0.03871727,-0.2147852,0.2538202,0.1601702,0.2657686,0.1638152,0.3117225,0.1238138,0.2969309,0.1463882,0.4209749,0.197559,0.2665051,0.1809827,0.4453046,0.03871727,0.1908974,0.4913264
15.34919,,0.1228327,,0.1666795,0.3818372,,0.04193249,-0.2249188,0.2593134,0.1472542,0.2931877,0.1553225,0.3116232,0.0919487,0.3342123,0.1428026,0.4183187,0.1448727,0.2999048,0.1835006,0.455483,0.04193249,0.225654,0.5002595
15.62178,,0.08621887,,0.240925,0.3773006,,0.07400265,-0.1504719,0.2135659,0.2125481,0.2897936,0.1531865,0.2853173,0.1939037,0.3739485,0.1432565,0.3624088,0.2391897,0.3848827,0.153891,0.3823334,0.07400265,0.3555275,0.4216329
15.89901,,0.05910962,,0.2725851,0.2915177,,0.07428475,-0.2753485,0.2356363,0.252953,0.2460239,0.1710589,0.290426,0.2781467,0.3394522,0.132501,0.3562264,0.3191978,0.3339092,0.1463459,0.383224,0.07428475,0.2874397,0.4271896
16.15088,,0.1576805,,0.2934515,0.161075,,0.08664665,-0.1214861,0.1827325,0.2842068,0.2397949,0.1785511,0.2509601,0.2903927,0.3661768,0.1184807,0.3130055,0.3078443,0.3493012,0.1451301,0.3498006,0.08664665,0.2632429,0.4062098
