time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Opposition
0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.3117621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.5688498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0.8300813,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1.092262,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1.344917,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1.598843,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1.861104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2.118008,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2.37644,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2.627904,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2.884154,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3.147541,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3.41233,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3.664706,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3.999972,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4.327238,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4.689027,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4.93926,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5.215654,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5.465684,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5.716778,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6.091856,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6.460334,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6.745552,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7.065156,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7.348661,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7.656348,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7.925266,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8.186365,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8.513816,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8.785171,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9.057618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9.41666,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9.695755,,0.1983256,,0.1630622,0.090796,,,,,,,,,,,,,,,,,,,
9.997737,,0.2078227,,0.1671951,0.120109,,,,,,,,,,,,,,,,,,,
10.29222,0.3789881,,,0.3679443,0.3640735,,,,,,,,,,,,,,,,,,,
10.56037,0.4815604,,,0.2994814,0.4698259,,,,,,,,,,,,,,,,,,,
10.82756,0.5904546,,,0.01737756,0.7232432,,,,,,,,,,,,,,,,,,,
11.09842,0.6106977,,0.1247008,,0.8039549,,,,,,,,,,,,,,,,,,,
11.35224,0.6490566,,,0.008925839,0.7288082,,,,,,,,,,,,,,,,,,,
11.62852,0.6417173,,,0.2703951,0.6095272,,,,,,,,,,,,,,,,,,,
11.88117,0.6040397,,,0.60807,0.4032988,,,,,,,,,,,,,,,,,,,
12.13542,0.335735,,,0.2440892,,0.08892795,,,,,,,,,,,,,,,,,,
12.43547,0.1014246,,,0.2137387,,0.4613093,0.05711823,-0.302821,0.2887586,0.232801,0.2237446,0.2929029,0.33474,0.3460926,0.4208517,0.1980325,0.3921875,0.4685692,0.4393488,0.1808051,0.4191019,0.05711823,0.4202355,0.4646235
12.68571,0.08677216,,,0.07216107,,0.4018039,0.04208755,-0.4141544,0.3247409,0.1433004,0.1809809,0.3410847,0.3797297,0.2659943,0.4186691,0.2075318,0.4057623,0.4159994,0.4342592,0.1520447,0.418474,0.04208755,0.3080448,0.4867718
12.96329,0.1313215,,0.2552398,,,0.3544732,0.05476265,-0.314662,0.3114334,0.1948658,0.3512154,0.215262,0.3205473,0.2524014,0.4932665,0.1276697,0.3905568,0.3147526,0.4507664,0.158075,0.4346674,0.05476265,0.3721886,0.4763398
13.23847,0.2365217,,0.622417,,,0.1661198,0.1086124,-0.1580088,0.2168424,0.2259924,0.3383659,0.201297,0.2739581,0.2653034,0.4504721,0.1442686,0.3533571,0.3328611,0.4303587,0.2034012,0.392525,0.1086124,0.493684,0.4256476
13.52453,1.934607,,1.363606,,,0.1260413,,,,,,,,,,,,,,,,,,
13.79784,,1.827903,1.747345,,,0.06767681,,,,,,,,,,,,,,,,,,
14.05655,,1.449647,1.676827,,0.07618836,,,,,,,,,,,,,,,,,,,
14.3309,0.4549984,,,0.9216804,0.07948019,,,,,,,,,,,,,,,,,,,
14.58293,0.5938951,,,0.8216617,0.1551066,,,,,,,,,,,,,,,,,,,
14.83434,0.1918049,,0.2200059,,,0.4451191,0.007935906,-0.2402388,0.3417082,0.197467,0.388118,0.1899827,0.2966543,0.2373182,0.4894939,0.2423843,0.387011,0.4091076,0.5356318,0.1503707,0.4102621,0.007935906,0.5600567,0.4532718
15.08595,0.03119591,,,0.1378918,,0.6463674,-0.01036148,-0.4349705,0.4516557,0.3061634,0.2387836,0.717079,0.3732448,0.7938137,0.6565069,0.2027223,0.379339,0.8630394,0.7078491,0.1298158,0.444721,-0.01036148,0.6740469,0.4942707
15.34919,0.1140075,,,0.2342313,,0.7597118,-0.01484299,-0.5219299,0.5163875,0.04867516,0.207822,1.173591,0.4626984,0.9272736,0.8387436,0.236552,0.3860931,0.9251961,0.9447452,0.2103543,0.4678161,-0.01484299,0.9644409,0.5335483
15.62178,0.2717401,,,0.09485937,,0.7465572,0.08774338,1.289212,0.1817396,0.2333866,0.4653915,0.8310102,0.168983,0.8431385,0.9101151,0.1930262,0.3126747,0.8412476,1.002532,0.1700515,0.3837968,0.08774338,1.006835,0.4288549
15.89901,0.2671415,,,0.235074,,0.7585543,-0.005170631,-0.5975109,0.3291222,0.2105427,0.3229086,0.8672893,0.3204826,0.8388889,0.7908323,0.226667,0.3258511,0.8635308,0.9235115,0.1685653,0.4156969,-0.005170631,0.9566921,0.4756269
