time,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLidRaiser,AU7_LidTightener,AU43_EyesClosed,AU20_LipStretcher,AU51_HeadTurnLeft,AU52_HeadTurnRight,AU53_HeadUp,AU54_HeadDown,AU55_HeadTiltLeft,AU56_HeadTiltRight,AU61_EyesLookLeft,AU62_EyesLookRight,AU63_EyesLookUp,AU64_EyesLookDown,AU26_JawDrop
0,,,,,,,,,,,,,,,,,,
0.2640023,8.884419E-07,2.799323E-08,3.843015E-05,7.50383E-11,0.04479934,0.01290214,0.03036882,,0.01372349,,0.1175605,0.0292753,,0.02549976,0.01797188,0,0.03562663,0.01086565
0.5261488,0.03396689,0.003159855,0.0001060164,0.005037596,0.1071309,0.01541256,0.02839969,,0.06183257,,0.3018877,0.02835533,,0,0.1051115,0,0.06016953,0.01158551
0.7890602,0.02724119,0.004129245,0.002319111,0.0001519569,0.05538365,0.002816495,0.02742471,,0.2036665,,0.4225226,0.04259489,,0,0.1610209,0,0.06846997,0.007976057
1.05048,0.0164745,0.0007317155,0.0004484116,0.07426856,0.1205836,0.01972148,0.02717722,,0.2741966,,0.475313,0.05423536,,0.0493274,0,0,0.02310728,0.009184543
1.302142,0.07361472,0.001361726,0.01147166,0.246933,0.116613,0.01812459,0.0271652,,0.276763,,0.4888323,0.08022846,,0.2266728,0,0,0.02546664,0.01079816
1.563165,0.09780675,0.006265076,0.01601873,0.2934444,0.1634919,0.01622337,0.02716418,,0.2449884,,0.4772804,0.03561218,,0.08936629,0,0,0.01904905,0.01086236
1.830324,0.04018323,0.001378179,0.003737119,0.09124243,0.09947985,0.009595264,0.02716411,,0.2896985,,0.455499,0.06120092,,0.03339,0.009786646,0,0.02439118,0.01053132
2.080835,0.0311219,0.0003290435,0.0008547485,0.008061728,0.0924665,0.04308314,0.01207632,,0.2498033,,0.4390839,0.06662769,,0.03439533,0.008874529,0,0.04343238,0.01707699
2.347509,0.008569575,6.984999E-05,0.004259611,0.001434513,0.08870496,0.02084878,0.01087767,,0.1670932,,0.3757817,0.04815252,,0.0400167,0.003115792,0,0.02147312,0.01110051
2.604504,0.001166063,1.516248E-05,0.1383037,1.402222E-06,0.0286498,0.9384705,0.002904459,0.04716369,,,0.2160273,0.04717394,,0,0.2653751,0,0.05391961,0.01087849
2.875246,0.003257347,3.307334E-06,0.2611108,2.76317E-08,0.0030485,0.9543,0.08941697,0.02275488,,,0.1168884,0.0204816,,0,0.4053169,0,0.02673476,0.03374312
3.135545,0.01786893,0.002043528,0.4245456,1.864353E-09,0.08008612,0.9537734,0.09646838,,0.1775564,,0.1538144,0.08146313,,0,0.08943423,0,0.02166983,0.04940956
3.387999,0.01967022,0.0004050407,0.4646941,1.05778E-10,0.05004194,0.964164,0.1075159,,0.1809892,,0.1738605,0.06253953,,0,0.2875049,0,0.02434767,0.08554151
3.647075,0.01698597,0.00191748,0.3806722,6.340405E-12,0.02774781,0.9305786,0.08609906,,0.03693483,,0.03994678,0.1110867,,0.009519465,0.03469828,0,0.03459401,0.09266731
3.924063,0.02405594,0.003622283,0.3090003,3.846453E-13,0.007035404,0.8949379,0.06940985,0.05826045,,0.07547694,,0.08511865,,0,0.3362963,0,0.06096089,0.1621894
4.180848,0.02176381,0.003595488,0.2984747,2.339848E-14,0.007084938,0.9143677,0.07343093,0.08211795,,0.07329749,,0.0286183,,0,0.3444577,0,0.06213475,0.1240208
4.435813,0.02744438,0.004246552,0.3079914,2.020592E-15,0.000866483,0.9053278,0.07187349,0.03996009,,0.07453985,,0.03879436,,0,0.3923534,0,0.0743864,0.1542598
4.688773,0.03134942,0.003608387,0.3084309,1.230007E-16,0.003497608,0.8578842,0.07761715,0.0198234,,0.07224791,,0.04025961,,0,0.4066553,0,0.09949853,0.1243486
4.943214,0.01588079,0.003698401,0.2852506,7.487409E-18,0.00593172,0.8594559,0.07650518,0.01726037,,0.06153839,,0.04010984,,0,0.426101,0,0.09981136,0.1188193
5.301495,,,,,,,,,,,,,,,,,,
