time,ChestTurnRight,ChestTurnLeft
0,null,null
0.2633318,,0.2010088
0.5244155,,0.2132607
0.7803734,,0.2448187
1.033645,,0.2298029
1.315774,,0.1921577
1.580544,,0.2074065
1.854103,,0.2223895
2.123877,,0.2139004
2.396512,,0.1839729
2.667378,,0.2149185
2.933009,,0.2021435
3.197059,,0.1871133
3.459291,,0.1818606
3.720145,,0.2559395
3.982981,,0.2413939
4.245183,,0.2441772
4.498164,,0.3168641
4.74901,,0.3480183
5.003143,,0.37538
5.264693,,0.3729244
5.516338,,0.3710811
5.767858,,0.3725594
6.030777,,0.3780458
6.281042,,0.3669617
6.542155,,0.329227
6.810713,,0.2094066
7.060822,,0.2064592
7.313787,,0.1658975
7.577607,,0.1266849
7.840808,,0.1390427
8.107294,,0.1119875
8.36666,0.004775372,
8.619902,0.1082199,
8.870106,,0.2334016
9.132864,,0.3755364
9.385839,,0.4642245
9.649899,,0.5165406
9.917848,,0.5347595
10.17739,,0.5557842
10.4309,,0.5679361
10.79295,null,null
