time,Stimuli_Woman&KnockingSoundResume_trigger,Stimuli_KnockingSoundResume_trigger,Stimuli_Woman&KnockingSoundPause_trigger,Stimuli_DoorOpeningSound_trigger,Stimuli_DoorOpeningSound_distance,Stimuli_WomanSound_trigger,Stimuli_DoorKnockingSound_trigger,Stimuli_DoorFrontArea_trigger,Stimuli_DoorFrontArea_distance,Stimuli_EnvironmentSound_trigger,ClosetDoor_Handle_trigger,RedDoor_Lock_trigger,RedDoor_Handle_trigger,Door_3_Handle_trigger,Door_2_Handle_trigger,RightHandLight_trigger,LeftHandLight_trigger
0,,,,,6.810084,,,,11.93666,,,,,,,,
0.2838757,,,,,7.168148,,,,12.3534,,,,,,,,
0.5457735,,,,,7.173199,,,,12.35903,,,,,,,,
0.80821,,,,,7.159154,,,,12.3462,,,,,,,,
1.08411,,,,,7.145947,,,,12.33499,,,,,,,,
1.358952,,,,,7.156971,,,,12.34913,,,,,,,,
1.635245,,,,,7.174403,,,,12.37542,,,,,,,,
1.936152,,,,,7.180993,,,,12.38916,,,,,,,,
2.201923,,,,,4.997428,,,,10.22457,,,,,,,,
2.469839,,,,,5.002611,,,,10.23245,,,,,,,,
2.754435,,,,,3.591324,,,,8.835583,,,,,,,,
3.032741,,,,,3.558981,,,,8.800774,,,,,,,,
3.291505,,,,,3.517686,,,,8.755579,,,,,,,,
3.567728,,,,,2.95113,,,,8.207943,,,,,,,,
3.820664,,,,,2.931603,,,,8.188555,,,,,,,,
4.071291,,,,,2.927314,,,,8.181202,,,,,,,,
4.350931,,,,,2.941675,,,,8.19033,,,,,,,,
4.624695,,,,,2.959094,,,,8.206071,,,,,,,,
4.877848,,,,,2.982942,,,,8.234382,,,,,,,,1
5.129749,,,,,3.021218,,,,8.277897,,,,,,,,1
5.380206,,,,,3.072295,,,,8.333735,,,,,,,,1
5.657375,,,,,3.142519,,,,8.405298,,,,,,,,1
5.940892,,,,,3.16238,,,,8.425157,,,,,,,,
6.199621,,,,,3.162872,,,,8.425615,,,,,,,,
6.462921,,,,,3.147733,,,,8.410512,,,,,,,,
6.715382,,,,,3.113813,,,,8.376764,,,,,,,,
6.969795,,,,,3.101239,,,,8.364255,,,,,,,,1
7.247075,,,,,3.111753,,,,8.374868,,,,,,,,
7.526415,,,,,3.120871,,,,8.384015,,,,,,,,
7.777748,,,,,3.112623,,,,8.375769,,,,,,,,1
8.056937,,,,,1.803528,,,,7.065267,,,,,,,,1
8.337312,,,,,1.858915,,,,7.120115,,,,,,,,1
8.612462,,,,,1.956555,,,,7.215017,,,,,,,,1
8.864116,,,,,2.043818,,,,7.300294,,,,,,,,1
9.144198,,,,,2.122107,,,,7.378913,,,,,,,,1
9.395485,,,,,2.170661,,,,7.429808,,,,,,,,1
9.669239,,,,,2.202795,,,,7.462465,,,,,,,,1
9.924159,,,,,2.225994,,,,7.484698,,,,,,,,1
10.17937,,,,,2.272265,,,,7.5287,,,,,,,,1
10.44696,,,,,2.331181,,,,7.584638,,,,,,,,1
10.69708,,,,,2.365449,,,,7.616297,,,,,,,,1
10.95315,,,,,1.476213,,,,6.733742,,,,,,,,1
11.23124,,,,,1.454135,,,,6.710032,,,,,,,,1
11.48126,,,,,1.422914,,,,6.675894,,,,,,,,1
11.73468,,,,,1.377427,,,,6.631774,,,,,,,,1
12.00745,,,,,1.351542,,,,6.607047,,,,,,,,1
12.28732,,,,,1.420912,,,,6.67309,,,,,,,,
12.5603,,,,,1.458768,,,,6.710823,,,,,,,,
12.81513,,,,,1.459278,,,,6.711752,,,,,,,,
13.06638,,,,,1.454643,,,,6.707031,,,,,,,,
13.31818,,,,,1.427832,,,,6.680325,,,,,,,,
13.57111,,,,,1.370023,,,,6.623505,,,,,,,,
13.82122,,,,,1.352899,,,,6.601612,,,,,,,,
14.09902,,,,,1.372308,,,,6.605628,,,,,,,,1
14.35764,,,,,1.362231,,,,6.587146,,,,,,,,1
14.60879,,,,,1.33614,,,,6.555462,,,,,,,,1
14.87674,,,,,1.313095,,,,6.532382,,,,1,,1,,1
15.13278,,,,,1.30794,,,,6.528141,,,,1,,1,,1
15.39986,,,,,1.278368,,,,6.499382,,,,1,,1,,1
15.67223,,,,,1.187932,,,,6.411236,,,,1,,1,,1
15.94837,,,,,1.093356,,,,6.318508,,,,1,,1,,1
16.20703,,,,,1.034206,,,,6.258613,,,,,,,,1
16.51827,,,,,0.9936803,,,,6.209322,1,,,,,,,1
16.77916,,,,,0.9425694,,,,6.132263,1,,,,,,,1
17.0501,,,,,0.9375646,,,,6.108465,1,,,,,,,1
17.31126,,,,,0.9509802,,,,6.108325,1,,,,,,,1
17.56436,,,,,0.9490984,,,,6.105927,1,,,,,,,1
17.8151,,,,,0.956318,,,,6.113697,1,,,,,,,1
18.07021,,,,,0.9708451,,,,6.128238,1,,,,,,,1
18.33803,,,,,0.9953288,,,,6.151441,1,,,,,,,1
18.61129,,,,,1.014427,,,,6.173501,1,,,,,,,1
18.88862,,,,,1.021242,,,,6.183377,1,,,,,,,1
19.14283,,,,,1.018173,,,,6.18321,1,,,,,,,1
19.41608,,,,,1.018639,,,,6.184874,1,,,,,,,1
19.66754,,,,,1.022346,,,,6.188992,1,,,,,,,1
19.92693,,,,,1.021979,,,,6.188257,1,,,,,,,1
20.20053,,,,,1.020214,,,,6.185831,1,,,,,,,1
20.46119,,,,,1.014614,,,,6.179501,1,,,,,,,1
20.71586,,,,,1.009375,,,,6.173916,1,,,,,,,1
20.97414,,,,,1.005611,,,,6.170745,1,,,,,,,1
21.23219,,,,,1.00546,,,,6.17011,1,,,,,,,1
21.49602,,,,,1.002446,,,,6.167196,1,,,,,,,1
21.74714,,,,,0.999926,,,,6.164681,1,,,,,,,1
22.01275,,,,,0.9979722,,,,6.162724,1,,,,,,,1
22.27585,,,,,0.9992651,,,,6.164594,1,,,,,,,1
22.54585,,,,,0.9997776,,,,6.165696,1,,,,,,,1
22.7992,,,,,1.000666,,,,6.16644,1,,,,,,,1
23.07001,,,,,0.9995967,,,,6.164894,1,,,,,,,1
23.34534,,,,,0.9937462,,,,6.158014,1,,,,,,,1
23.60466,,,,,0.9877461,,,,6.150658,1,,,,,,,1
23.85647,,,,,0.9832906,,,,6.1478,1,,,,,,,1
24.12799,,,,,0.9766879,,,,6.143407,1,,,,,,,1
24.38486,,,,,0.9722885,,,,6.13983,1,,,,,,,1
24.65047,,,,,0.9768623,,,,6.143933,1,,,,,,,1
24.90969,,,,,0.9823383,,,,6.150036,1,,,,,,,1
